model,top1_accuracy,bleu4,rougeL
CNN,0.9947643979057592,0.9987267622070476,0.9993261106215334
BiLSTM,0.9895287958115184,0.9972980723375676,0.9986522212430669
LSTM,0.9895287958115184,0.9974535244140952,0.9986522212430669
GRU,0.9842931937172776,0.9922973263540098,0.9941060811530056
TF-IDF,0.9424083769633508,0.9585034494367541,0.9647980377990438
RNN,0.9109947643979056,0.9195425490275292,0.9293937356820609
