model,top1_accuracy,bleu4,rougeL
CNN,0.9947643979057592,0.9987267622070476,0.9993261106215334
BiLSTM,0.9895287958115183,0.9972980723375677,0.9986522212430669
LSTM,0.9895287958115183,0.9974535244140952,0.9986522212430669
GRU,0.9842931937172775,0.9922973263540098,0.9941060811530057
RNN,0.9109947643979057,0.9195425490275293,0.9293937356820607
